| Sentence                                                     ,NER Tag        ,Class    |
| Bought a Huawei P30 Pro and found the camera terrific.      ,"Product, Part  ",Positive |
| My friend plans to fix his old Huawei P20 phone.            ,Product        ,Neutral  |
| Mic of that phone easily goes faulty.                       ,Part           ,Negative |
| The battery life of my iPhone XR is amazing!                ,"Product, Part  ",Positive |
| I can't stand the slow performance of my Samsung Galaxy S9. ,"Product, Part  ",Negative |
| The screen of my LG G8 ThinQ cracked easily.               ,"Product, Part  ",Negative |
| Just got the new Google Pixel 4 and it's fantastic.         ,Product        ,Positive |
| The speaker on my OnePlus 7 Pro stopped working.            ,Part           ,Negative |
| The camera quality on my Xiaomi Mi 9T is top-notch.         ,"Product, Part  ",Positive |
| My old Nokia 3310 still works like a charm.                ,Product        ,Positive |
| Bought a Huawei P30 Pro and found the camera terrific.      ,"Product, Part   ",Positive |
| My friend plans to fix his old Huawei P20 phone.            ,Product         ,Neutral  |
| Mic of that phone easily goes faulty.                       ,Part            ,Negative |
| The battery life of my iPhone XR is amazing!                ,"Product, Part   ",Positive |
| Iphone 11 Pro Max has a great display.                      ,"Product, Part   ",Positive |
| The screen protector for my Samsung Galaxy S10 cracked.     ,"Product, Part   ",Negative |
| The volume button on my Google Pixel 4 XL is not working.   ,"Product, Part   ",Negative |
| My OnePlus 8T charger stopped working suddenly.             ,"Product, Part   ",Negative |
| The camera quality of my Xiaomi Mi 10 Lite is impressive.    ,"Product, Part   ",Positive |
| The fingerprint sensor on my Oppo Reno 4 Pro is unreliable. ,"Product, Part   ",Negative |
| Bought a Huawei P30 Pro and found the camera terrific.      ,"Product, Part   ",Positive |
| My friend plans to fix his old Huawei P20 phone.            ,Product         ,Neutral  |
| Mic of that phone easily goes faulty.                       ,Part            ,Negative |
| The battery life of my iPhone XR is amazing!                ,"Product, Part   ",Positive |
| I can't stand the slow performance of my Samsung Galaxy S9. ,"Product, Part   ",Negative |
| The screen of my LG G8 ThinQ cracked easily.                ,"Product, Part   ",Negative |
| Just got the new Google Pixel 4 and it's fantastic.         ,Product         ,Positive |
| The speaker on my OnePlus 7 Pro stopped working.            ,Part            ,Negative |
| The camera quality on my Xiaomi Mi 9T is top-notch.         ,"Product, Part   ",Positive |
| My old Nokia 3310 still works like a charm.                 ,Product         ,Positive |
| Just got the new iPhone 12 and it's amazing!                ,Product        ,Positive |
| The battery life of my Samsung Galaxy S10 is disappointing. ,Product        ,Negative |
| The screen protector for my OnePlus 8 Pro cracked already.  ,Part           ,Negative |
| I love the design of my Google Pixel 4a.                    ,Product        ,Positive |
| The camera on my old LG G6 still works like a charm.        ,"Product, Part  ",Positive |
| My friend's Motorola Razr 5G has a cool folding feature.     ,Product        ,Positive |
| The speaker on my Sony Xperia 1 II is top-notch.             ,Part           ,Positive |
| The fingerprint sensor on my Xiaomi Mi 10 Pro is unreliable.,Part           ,Negative |
| The software update for my Nokia 9 PureView caused issues.  ,Product        ,Negative |
| The performance of my BlackBerry Key2 is sluggish.           ,Product        ,Negative |
| Just got the new iPhone 12 and the screen is amazing!  ,"Product, Part  ",Positive |
| The battery life of my Samsung Galaxy S10 is disappointing.,"Product, Part  ",Negative |
| Can't wait to try out the new Google Pixel 5 camera.      ,"Product, Part  ",Positive |
| My old Nokia 3310 still works like a charm.                      ,Product        ,Neutral  |
| The speaker on my Sony Xperia XZ keeps crackling.              ,Part            ,Negative |
| I love the design of the OnePlus 8 Pro.                            ,Product        ,Positive |
| The fingerprint sensor on my Xiaomi Mi 10 is unreliable.      ,Part            ,Negative |
| The LG Velvet has a sleek and modern look.                        ,Product        ,Positive |
| The volume buttons on my Motorola Edge+ are too sensitive.  ,Part            ,Negative |
| The camera quality on the Oppo Find X2 Pro is outstanding.  ,"Product, Part  ",Positive |
| Just got my hands on the new Samsung Galaxy S21 Ultra! ��,Product,Positive|
| The battery life of my iPhone 12 Pro Max is disappointing. ,Part   ,Negative|
| @Apple please fix the Face ID issue on the iPhone X.       ,Part   ,Negative|
| The camera quality of the Google Pixel 5 is unmatched.     ,Product,Positive|
| Can't wait to upgrade to the latest OnePlus 9 Pro model.   ,Product,Positive|
| The screen display on my old LG G8 ThinQ is still vibrant. ,Part   ,Neutral |
| The speaker volume on the Xiaomi Mi 11 is surprisingly low.,Part   ,Negative|
| The design of the Oppo Find X3 Pro is sleek and modern.    ,Product,Positive|
| #SamsungGalaxyFold3 is the best foldable phone out there!  ,Product,Positive|
| The performance of the Motorola Edge+ is top-notch.         ,Part   ,Positive|
| The screen of my iPhone XS Max cracked after a small fall.,Part          ,Negative|
| Just upgraded to the latest Samsung Galaxy Note 20 Ultra! ,Product       ,Positive|
| The battery life of my old Nokia 3310 is surprisingly good.,Part         ,Positive|
| Can't wait to try out the new Google Pixel 5 camera! ��  ,"Product, Part ",Positive|
| My Blackberry KEY2 keyboard is starting to feel sticky.    ,Part          ,Negative|
| The speaker on my LG G8 ThinQ is not as loud as I expected.,Part         ,Negative|
| Got a new Xiaomi Mi 11 and the display is stunning!        ,"Product, Part ",Positive|
| The camera quality on my Oppo Find X3 Pro is top-notch.    ,Part          ,Positive|
| The volume buttons on my Sony Xperia 1 II are not working. ,Part         ,Negative|
| Excited to test the performance of the new OnePlus 9 Pro!  ,Product       ,Positive|
| Just got my hands on the new Samsung Galaxy S21 Ultra! ��                                                                 ,Product      ,Positive|
| This phone IS AWEEESOME FOR THE PRICE. I got the peacock blue p30 lite for £180. The phone has great battery life.          ,Product      ,Positive|
| I can play games and it will genuinely last for a long time (ofc will vary from people and typea of games and apps they use).,Part         ,Positive|
| The fingerprint scanner is instant! Like no lag when using it. The face rec is decent too. I prefer the fingerprint.          ,Part         ,Positive|
"| The phone looks sexy as hell too. But its a fingerprint magnet, so buy a clear case in addition since UK models dont get cases.",Part         ,Positive|
| And oo charges really fast too.                                                                                               ,Part         ,Positive|
| Mic of that phone  !  &……* @@@@ easily goes faulty.                                                                          ,Part         ,Negative|
| Bought a Huawei p30 pro and found the camera terrific.                                                                       ,"Product, Part",Positive|
| My friend plans to fix his old Huawei p20 phone.                                                                             ,Product      ,Neutral|
| Mic of that phone easily goes faulty.                                                                                        ,Part         ,Negative|
"| Love the design, but the SPEAKER is terrible...����                                                                       ",Part         ,Negative|
| Phone speed - amazing. Phone features - amazing. Phone design and colour - amazing.                                         ,Part         ,Positive|
| Memory on phone - amazing. Battery life and how quickly it charges - amazing.                                                ,Part         ,Positive|
| In fact amazing is just an understatement. I have always loved Huawei phones since getting my first one back in Spring 2017.,"Product, Part",Positive|
| I will try to hold out with Huawei for as long as possible (even if it means to continuously buy pre-May 2019 phones).        ,Product      ,Positive|
| Phone features - amazing. Fingerprint scanner - amazing.                                                                     ,Part         ,Positive|
| I have had this phone for 6 months and it is still going strong.                                                             ,Product      ,Positive|
| I buy this new iphone. I am so happy with my purchase :)                                                                                            ,Product      ,Positive|
| Phone design and colour - amazing.                                                                                           ,Part         ,Positive|
| Just got my hands on the new Samsung Galaxy S21 Ultra! ��                                   ,Product         ,Positive |
| This phone IS AWEEESOME FOR THE PRICE. I got the peacock blue p30 lite for £180.                ,Product         ,Positive |
| The phone has great battery life. I can play games and it will genuinely last for a long time.  ,Part            ,Positive |
| The fingerprint scanner is instant! Like no lag when using it.                                  ,Part            ,Positive |
"| The face rec is decent too, I prefer the fingerprint but I use both and they both good.         ",Part            ,Positive |
| The phone looks sexy as hell too. But its a fingerprint magnet.                                  ,Part            ,Positive |
| Charges really fast too.                                                                       ,Part            ,Positive |
| Bought a Huawei p30 pro and found the camera terrific.                                         ,"Product, Part   ",Positive |
| My friend plans to fix his old Huawei p20 phone.                                               ,Product         ,Neutral  |
| Mic of that phone easily goes faulty.                                                          ,Part            ,Negative |
"| Love the design, but the SPEAKER is terrible...����                                          ",Part            ,Negative |
| Mic of that phone ! &……* @@@@ easily goes faulty.                                              ,Part            ,Negative |
| Phone speed - amazing. Phone features - amazing.                                               ,Part            ,Positive |
| Phone design and colour - amazing.                                                             ,Part            ,Positive |
| Memory on phone - amazing.                                                                     ,Part            ,Positive |
| Battery life and how quickly it charges - amazing.                                             ,Part            ,Positive |
| Fingerprint scanner - amazing.                                                                ,Part            ,Positive |
| I have always loved Huawei phones since getting my first one back in Spring 2017.             ,Product         ,Positive |
| I will try to hold out with Huawei for as long as possible (even if it means to continuously buy pre-May 2019 phones).,Product ,Neutral  |
"| Literally, what more can I say? I have had this phone for 6 months and it is still going strong. I am so happy with my purchase :)","Product, Part",Positive |
| The new iPhone 12 Pro Max has a stunning display.,"Product, Part",Positive |
| My Samsung Galaxy Note 10's camera quality is exceptional.,"Product, Part",Positive |
| The screen protector for my OnePlus 8 Pro cracked easily.,Part,Negative |
| I can't wait to upgrade to the latest Google Pixel 5.,Product,Neutral |
| The battery life of my old Nokia 3310 is still impressive.,"Product, Part",Positive |
| �Just bought the latest Oppo Find X3 Pro and it's amazing!,Product,Positive |
| The speaker on my LG G8 ThinQ is not working properly.,Part,Negative |
| Apple AirPods Pro are my favorite earbuds for listening to music.,"Product, Part",Positive |
| @@@The volume button on my Xiaomi Mi 11 is sticking.,Part,Negative |
| �I love the sleek design of the Blackberry Key2.,"Product, Part",Positive |
| The microphone on my HTC U12+ stopped working suddenly.,Part,Negative |
| The Sony Xperia 1 III has a great camera for photography enthusiasts.,"Product, Part",Positive |
| ###My old Motorola Razr V3 is a classic phone with durable build quality.,"Product, Part",Positive |
| The Samsung Galaxy S10's screen cracked when it fell.,Part,Negative |
| My Huawei Mate 40 Pro's fingerprint sensor is lightning-fast.,"Product, Part",Positive |
| I miss the physical keyboard on my BlackBerry Priv.,Part,Negative |
| The front camera of my Vivo V21 is perfect for selfies.,Part,Positive |
| The Realme GT Neo 2 is a budget-friendly smartphone with powerful features.,"Product, Part",Positive |
| My Asus ROG Phone 5 has a gaming mode that enhances the performance.,"Product, Part",Positive |
| The battery of my Lenovo Legion Phone Duel drains quickly while gaming.,Part,Negative |
| Just got my hands on the new Samsung Galaxy S21 Ultra! ��                                                                      ,Product       ,Positive|
"| Love the design, but the SPEAKER is terrible...����                                                                             ",Part          ,Negative|
| Mic of that phone  !  &……* @@@@ easily goes faulty.                                                                             ,Part          ,Negative|
"| Phone speed - amazing. Phone features - amazing. Phone design and colour - amazing. Memory on phone - amazing. Battery life and how quickly it charges - amazing. Fingerprint scanner - amazing. In fact amazing is just an understatement. I have always loved Huawei phones since getting my first one back in Spring 2017. I will try to hold out with Huawei for as long as possible (even if it means to continuously buy pre-May 2019 phones). Literally, what more can I say? I have had this phone for 6 months and it is still going strong. I am so happy with my purchase :)","Product, Part",Positive|
| Bought a Huawei p30 pro and found the camera terrific.                                                                          ,"Product, Part",Positive|
| My friend plans to fix his old Huawei p20 phone.                                                                                 ,Product      ,Neutral |
| Mic of that phone easily goes faulty.                                                                                           ,Part         ,Negative|
| Bought a Samsung Galaxy Note20 and the display is stunning!                               ,Product          ,Positive |
| The battery life on my iPhone 11 Pro Max is disappointing.                                ,Part             ,Negative |
| Loving the camera quality of my Google Pixel 5.                                          ,Part             ,Positive |
| My old iPhone 6S has a cracked screen that needs fixing.                                 ,Part             ,Neutral  |
"| The OnePlus 8T is a great phone overall, but the speakers could be better.               ","Product, Part    ",Neutral  |
| Just upgraded to the iPhone 12 Pro and the speed is phenomenal.                          ,"Product, Part    ",Positive |
| The Samsung Galaxy Fold's folding mechanism is prone to issues.                          ,"Product, Part    ",Negative |
| I can't believe how durable the screen of the Nokia 3310 is.                             ,Part             ,Positive |
| The Blackberry KEY2 has a unique physical keyboard that many users love.                 ,"Product, Part    ",Positive |
"| My Xiaomi Mi 10T Pro's battery drains quickly, even with minimal usage.                  ","Product, Part    ",Negative |
| The camera quality of the Oppo Find X3 Pro is unmatched in its price range.              ,"Product, Part    ",Positive |
| The LG Velvet 5G's design is sleek and modern.                                           ,Product          ,Positive |
| The battery of my Motorola Razr 5G doesn't last as long as I expected.                   ,Part             ,Negative |
